Exp,class,profile,Wood,noWood,hp,hpue,h,htop,v,Froude,Res,Res_rel,Yres,Yres_rel,Zres,angle_res,Resy,Resy_rel,Yy,Yy_rel,Zy,angle_y,Resz,Resz_rel,Yz,Yz_rel,Zz,Zz_rel,angle_z,Reszm,Reszm_rel,Yzm,Yzm_rel,Zzm,Zzm_rel,angle_zm,Ftop,Ftop_rel,t_res,t_y,t_z,t_zm,t_ftop,t_start,t_trans,year,Yy/h,Ftop/hpue,t_spanZ,t_spanZ_ext,integral_y,integral_z_pos,integral_z_neg,integral_z_cl
11,1_15,1,15,1,20,6,122.4474431398345,21.447443139834505,1.183585033793616,1.079916311036699,96.16272827943004,1.2790686271968268,88.55537278140025,1.4077851695254602,-37.48621428859849,-22.94333827082153,96.16272827943004,1.377922017104159,88.55537278140025,1.3076521500102734,-37.48621428859849,-22.94333827082153,60.9257839121686,1.085875324254387,36.05463498346141,1.1620248903641168,-49.11226365707066,1.116982609732551,-53.71660525205477,29.25873444186714,0.6341729962789883,29.12514819541466,0.6445746028338682,2.792719773775429,0.3436725162044696,5.477168621237865,-38.55363241002377,1.3231345727686332,4.38,4.38,4.817083333333334,4.04625,6.5,3.98375,4.086666666666667,2023,0.7232112856800967,6.425605401670629,0.1029166666666667,0.7708333333333339,54.29558909246561,0.01327816143203557,-116.25902492372063,-117.49667361521172
12,1_15,1,15,1,20,6,115.7922231653757,14.792223165375702,1.207453416149068,1.132912020289564,84.50529682536084,1.12401213999661,78.20737470512,1.2432806593132344,-32.01174367752085,-22.26020484319904,84.47857683129558,1.2104990475230455,78.26268211720753,1.1556652219031942,-31.80538525567698,-22.11646748647451,72.39283655900584,1.2902516771147323,24.49864358855907,0.789580414366238,-68.1215035607677,1.5493184219224412,-70.21981318117813,50.39929022329206,1.092387264894968,49.63527586852098,1.0984884270747963,8.742302011909793,1.0758290029904145,9.989099549393408,-45.99604229059631,1.5785530431470596,4.558333333333334,4.559166666666667,5.038333333333333,4.27375,6.5,4.207083333333333,4.3220833333333335,2023,0.6758889325877432,7.666007048432718,0.1150000000000002,0.7645833333333334,38.573228816200256,0.09993405913916645,-132.1820100551865,-133.56022233644498
13,1_15,1,15,1,20,6,132.4113032141426,31.41130321414261,1.11928715148031,0.9820746135514064,98.03670231514084,1.3039945152216972,95.82657081493488,1.5233770803806164,-20.69935570682837,-12.18909958276819,98.03670231514084,1.4047743135134718,95.82657081493488,1.4150222331917095,-20.69935570682837,-12.18909958276819,79.36001345443775,1.4144271080188515,33.75065668142389,1.0877686918183669,-71.82551711655961,1.6335604914169826,-64.83126907430803,44.84694691603776,0.9720421351858533,42.91144847037317,0.9496820297440204,13.03289061814057,1.6038294834353717,16.89437170494086,-46.19490053983959,1.5853777236818465,4.417083333333333,4.417083333333333,4.9158333333333335,4.255416666666667,6.5,4.173333333333333,4.358333333333333,2023,0.7237038567618284,7.699150089973265,0.1850000000000005,0.6604166666666664,46.97693207940518,0.7579684533691561,-132.33710169781017,-132.53339064091546
14,1_15,1,15,1,20,6,133.6423159717808,32.64231597178079,0.8302347493946363,0.7250941586820907,86.19366677528863,1.1464692922914086,85.37272448748865,1.3571898761258787,11.86786020109991,7.914100634430081,86.19366677528863,1.2350746834001267,85.37272448748865,1.26065560137021,11.86786020109991,7.914100634430081,59.65756945574276,1.0632720404610954,31.85218163186358,1.026581683203905,-50.44268151731769,1.147240909857953,-57.7295152912582,51.1308363228774,1.1082432747580055,47.62117969361006,1.0539140532964406,18.61681142585323,2.2909876194909584,21.35229460086795,-29.15685537918349,1.0006435444298771,4.256666666666667,4.256666666666667,4.9875,4.19125,6.5,4.085,4.323333333333333,2023,0.6388150629289866,4.859475896530582,0.2383333333333332,0.7962499999999997,46.59746896615086,1.9103453352533637,-92.8531540007705,-90.8486820474547
15,1_15,1,15,1,20,6,148.9922369237777,47.99223692377771,1.039054014021922,0.8594523441703655,114.523035127728,1.5232806300751645,96.94593633273983,1.541171891985486,-60.96729453924596,-32.16493826306946,114.2196791157866,1.6366612455387308,97.31753323008402,1.437038516862798,-59.79492305643305,-31.56786103680419,100.319154509214,1.78798018567409,53.0013789561018,1.7082109304077713,-85.17503501728211,1.9371746650078927,-58.10747245920607,65.13716133658241,1.4118255475472388,64.0858036496524,1.4182960085767848,11.65588081468599,1.434374449516343,10.30823593451394,-71.9352130695438,2.468767829695992,4.62125,4.617083333333333,5.105833333333333,4.322916666666667,6.5,4.235833333333333,4.36875,2023,0.6531718379385785,11.9892021782573,0.1329166666666674,0.782916666666666,64.01985736282687,0.5222668821515003,-185.06130987576338,-184.26150476253878
16,1_20,1,20,1,20,6,122.2486486091509,21.248648609150905,1.048395636979773,0.957345428414762,60.76791518203459,0.8082792079654886,60.5184233950396,0.9620753237514884,5.500904048397261,5.193705128729504,60.74557543923488,0.8704273197840213,60.52001344004456,0.8936682575870417,5.230000827973255,4.939099215563821,46.48462129184995,0.8284916496256745,29.1539672385791,0.9396194303347936,-36.20588641227509,0.823446986171264,-51.15803442142114,50.53200556630479,1.0952638242655657,49.73363273745096,1.1006651830281449,8.94703086444908,1.1010229664351292,10.19836843640851,-32.25297450789783,1.1069002575988067,4.377083333333333,4.376666666666667,5.011666666666667,4.386666666666667,6.5,4.2225,4.43875,2023,0.4950567071995783,5.375495751316305,0.2162499999999996,0.625,36.0757587444661,0.8875418599392096,-78.77214453397139,-77.79900422414548
17,1_20,1,20,1,20,6,136.6283942194543,35.62839421945429,1.614926558157999,1.394915149596005,86.42197128597986,1.1495059900047278,33.81536507894452,0.5375706517292863,-79.53161764689831,-66.96570488530529,54.79828308671217,0.7852081790491261,51.64791599013655,0.7626585069521303,-18.31241663809674,-19.52260023699746,86.3782144845959,1.5395119379537745,24.97892327401951,0.8050596155590192,-82.68766129004676,1.880603189976167,-73.19108046540052,15.4166846056582,0.3341513314078428,13.47926479844521,0.2983123620747181,7.482217901380215,0.9207628624626344,29.03425843376509,-60.92913565451572,2.0910467012815004,4.89875,4.414166666666667,4.980833333333333,4.1925,6.5,4.0808333333333335,4.2316666666666665,2023,0.3780174412880752,10.154855942419289,0.1508333333333329,0.7883333333333331,30.299755019365502,0.26095918990728006,-165.15217805231714,-163.9154395421202
18,1_20,1,20,1,20,6,112.2294051594884,11.229405159488394,1.434268622703319,1.36691863208131,73.50125187834098,0.977646402295222,43.5296387237237,0.6920006986061771,-59.22503339184722,-53.68459145437019,68.62169537973485,0.9832847570629664,67.83071263034353,1.0016216342598654,10.3890086557322,8.707800379507601,72.31034312316383,1.28878140327266,35.91099564502655,1.1573954582100177,-62.76293583296252,1.4274460723434017,-60.22315544384366,63.88108371612672,1.384600497547006,62.60301154934741,1.385480033779796,12.71439348530103,1.5646351782728103,11.4803712179828,-46.89185063675792,1.6092965793403693,4.928333333333334,4.341666666666667,5.0325,4.347083333333333,6.5,4.281666666666666,4.420416666666667,2023,0.6043934077165409,7.815308439459653,0.1387500000000008,0.6854166666666668,40.51706548861196,0.31526320988080425,-123.32525278829186,-123.38830744933603
19,1_20,1,20,1,20,6,92.18645910567272,-8.813540894327275,0.5554565374655329,0.584093013961737,55.56467140872728,0.7390704200164236,54.99532294841067,0.8742733231009221,7.933924789147522,8.20916274206246,55.56467140872728,0.7961898073936083,54.99532294841067,0.8120879629914806,7.933924789147522,8.20916274206246,54.29922879584797,0.967770767799315,22.04954567241248,0.7106470750381136,-49.62079990753918,1.128548481592138,-66.04150604517726,33.82242328499553,0.7330893808369743,29.65761600621126,0.6563587566985367,16.2598317856468,2.000937349786532,28.73382104415054,-34.90838519153888,1.198032155186521,4.860833333333333,4.860833333333333,5.452916666666667,4.769583333333333,6.5,4.650416666666667,4.941666666666666,2023,0.5965661712352992,5.818064198589814,0.2912499999999998,0.6833333333333336,27.410743631393903,1.8429441042685768,-74.01604885202401,-75.0957174364338
20,1_20,1,20,1,20,6,142.3056472689038,41.30564726890381,0.8489598532538458,0.7185245014806554,122.0198080346184,1.6229958440878045,122.0021797987932,1.9394967688125853,2.074048492216185,0.9739398055578166,122.0198080346184,1.74842980250269,122.0021797987932,1.801544137967201,2.074048492216185,0.9739398055578166,58.07948762696246,1.0351460155256245,26.77404472271559,0.8629155834690587,-51.54005638526709,1.1721990069315456,-62.54901145817521,97.11832840248285,2.105006333714787,96.11301017426597,2.127096656970778,13.93768226549728,1.7151732799049677,8.251143779446883,-38.07102082426836,1.306571669757563,4.32,4.32,5.55875,4.265833333333333,6.5,4.12375,4.33625,2023,0.8573249350270356,6.34517013737806,0.2124999999999994,1.2929166666666667,72.53215469759337,1.086246917737361,-106.18672060725604,-105.33106406952534
